Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"AbstractByteArrayOutputStream.java",2,28,2,4
File,"AbstractCharacterFilterReader.java",2,12,2,5
File,"AbstractCloseableListTest.java",2,5,1,3
File,"AbstractFileComparator.java",1,5,1,2
File,"AbstractFileFilter.java",1,16,1,2
File,"AbstractFilterTest.java",1,8,2,3
File,"AbstractInputStreamTest.java",3,29,2,4
File,"AbstractMonitorTest.java",2,9,1,4
File,"AbstractTempDirTest.java",0,1,1,1
File,"AccumulatorPathVisitor.java",1,19,1,4
File,"AccumulatorPathVisitorTest.java",0,5,1,1
File,"AgeFileFilter.java",1,13,1,2
File,"AgeFileFilterTest.java",1,4,1,2
File,"AndFileFilter.java",2,28,1,4
File,"AndFileFilterTest.java",1,13,1,2
File,"AppendableOutputStream.java",0,3,1,1
File,"AppendableOutputStreamTest.java",0,3,1,1
File,"AppendableWriter.java",1,12,1,3
File,"AppendableWriterTest.java",0,7,1,1
File,"AutoCloseInputStream.java",1,5,1,2
File,"AutoCloseInputStreamTest.java",2,12,1,3
File,"BOMInputStream.java",3,38,2,6
File,"BOMInputStreamTest.java",2,75,1,3
File,"BoundedInputStream.java",1,21,1,4
File,"BoundedInputStreamTest.java",1,7,2,4
File,"BoundedReader.java",2,11,1,4
File,"BoundedReaderTest.java",2,25,1,2
File,"BrokenInputStream.java",0,10,1,1
File,"BrokenInputStreamTest.java",1,15,1,1
File,"BrokenOutputStream.java",0,8,1,1
File,"BrokenOutputStreamTest.java",1,13,1,1
File,"BrokenReader.java",0,11,1,1
File,"BrokenReaderTest.java",1,20,1,1
File,"BrokenWriter.java",0,8,1,1
File,"BrokenWriterTest.java",1,29,1,1
File,"BufferedFileChannelInputStream.java",2,23,1,3
File,"BufferedFileChannelInputStreamTest.java",0,1,1,1
File,"ByteArrayOutputStream.java",1,15,1,3
File,"ByteArrayOutputStreamTest.java",3,41,1,3
File,"ByteBufferCleaner.java",2,11,1,3
File,"ByteBufferCleanerTest.java",0,3,1,1
File,"ByteOrderMark.java",2,18,2,5
File,"ByteOrderMarkTest.java",1,13,1,5
File,"ByteOrderParser.java",1,4,2,3
File,"ByteOrderParserTest.java",0,5,1,1
File,"CanExecuteFileFilter.java",0,3,1,1
File,"CanReadFileFilter.java",0,3,1,1
File,"CanWriteFileFilter.java",0,3,1,1
File,"CharSequenceInputStream.java",3,31,2,8
File,"CharSequenceInputStreamTest.java",3,66,1,4
File,"CharSequenceReader.java",2,28,2,8
File,"CharSequenceReaderTest.java",1,20,1,2
File,"CharacterFilterReader.java",0,3,1,1
File,"CharacterFilterReaderIntPredicateTest.java",1,17,1,1
File,"CharacterFilterReaderTest.java",2,10,1,2
File,"CharacterSetFilterReader.java",1,5,1,2
File,"CharacterSetFilterReaderTest.java",2,13,1,2
File,"CharsetDecdersTest.java",0,3,1,1
File,"CharsetDecoders.java",0,2,2,2
File,"CharsetEncoders.java",0,2,2,2
File,"CharsetEncodersTest.java",0,3,1,1
File,"Charsets.java",0,5,1,2
File,"CharsetsTest.java",0,8,1,1
File,"ChunkedOutputStream.java",1,5,1,2
File,"ChunkedOutputStreamTest.java",1,6,1,1
File,"ChunkedWriter.java",1,5,1,2
File,"ChunkedWriterTest.java",2,6,1,1
File,"CircularBufferInputStream.java",2,19,2,5
File,"CircularBufferInputStreamTest.java",4,13,4,10
File,"CircularByteBuffer.java",2,34,2,7
File,"CircularInputStream.java",2,8,2,3
File,"CircularInputStreamTest.java",1,15,1,3
File,"ClassLoaderObjectInputStream.java",1,6,2,3
