Kind,Name,CountClassCoupled,CountClassCoupledModified
Public Interface,"org.apache.commons.codec.BinaryDecoder",1,1
Public Interface,"org.apache.commons.codec.BinaryEncoder",1,1
Public Abstract Class,"org.apache.commons.codec.BinaryEncoderAbstractTest",4,4
Public Class,"org.apache.commons.codec.CharEncoding",1,1
Public Class,"org.apache.commons.codec.CharEncodingTest",2,2
Public Class,"org.apache.commons.codec.Charsets",4,4
Public Class,"org.apache.commons.codec.CharsetsTest",6,6
Public Enum Type,"org.apache.commons.codec.CodecPolicy",0,0
Public Interface,"org.apache.commons.codec.Decoder",1,1
Public Class,"org.apache.commons.codec.DecoderException",2,2
Public Class,"org.apache.commons.codec.DecoderExceptionTest",5,5
Public Interface,"org.apache.commons.codec.Encoder",1,1
Public Class,"org.apache.commons.codec.EncoderException",2,2
Public Class,"org.apache.commons.codec.EncoderExceptionTest",5,5
Public Class,"org.apache.commons.codec.Resources",3,3
Public Interface,"org.apache.commons.codec.StringDecoder",2,2
Public Interface,"org.apache.commons.codec.StringEncoder",2,2
Public Abstract Generic Class,"org.apache.commons.codec.StringEncoderAbstractTest",7,7
TypeVariable,"org.apache.commons.codec.StringEncoderAbstractTest.T",0,0
Public Class,"org.apache.commons.codec.StringEncoderComparator",7,7
Public Class,"org.apache.commons.codec.StringEncoderComparatorTest",9,9
Public Class,"org.apache.commons.codec.binary.AllocateDirectHexTest",2,2
Public Class,"org.apache.commons.codec.binary.Base16",4,4
Public Class,"org.apache.commons.codec.binary.Base16InputStream",3,3
Public Class,"org.apache.commons.codec.binary.Base16InputStreamTest",12,12
Public Class,"org.apache.commons.codec.binary.Base16OutputStream",3,3
Public Class,"org.apache.commons.codec.binary.Base16OutputStreamTest",12,12
Public Class,"org.apache.commons.codec.binary.Base16Test",17,17
Public Class,"org.apache.commons.codec.binary.Base16TestData",1,1
Public Class,"org.apache.commons.codec.binary.Base32",7,7
Public Class,"org.apache.commons.codec.binary.Base32InputStream",4,4
Public Class,"org.apache.commons.codec.binary.Base32InputStreamTest",20,20
Public Class,"org.apache.commons.codec.binary.Base32OutputStream",4,4
Public Class,"org.apache.commons.codec.binary.Base32OutputStreamTest",14,14
Public Class,"org.apache.commons.codec.binary.Base32Test",16,16
Public Class,"org.apache.commons.codec.binary.Base32TestData",1,1
Public Class,"org.apache.commons.codec.binary.Base64",11,11
Public Class,"org.apache.commons.codec.binary.Base64Codec13Test",10,10
Public Class,"org.apache.commons.codec.binary.Base64InputStream",3,3
Public Class,"org.apache.commons.codec.binary.Base64InputStreamTest",22,22
Public Class,"org.apache.commons.codec.binary.Base64OutputStream",3,3
Public Class,"org.apache.commons.codec.binary.Base64OutputStreamTest",14,14
Public Class,"org.apache.commons.codec.binary.Base64Test",21,21
Public Class,"org.apache.commons.codec.binary.Base64TestData",1,1
