Kind,Name,CountClassCoupled,CountClassCoupledModified
Public Class,"org.apache.commons.io.ByteOrderMark",6,6
Public Class,"org.apache.commons.io.ByteOrderMarkTest",5,5
Public Class,"org.apache.commons.io.ByteOrderParser",3,3
Public Class,"org.apache.commons.io.ByteOrderParserTest",4,4
Public Class,"org.apache.commons.io.Charsets",8,8
Public Class,"org.apache.commons.io.CharsetsTest",6,6
Class,"org.apache.commons.io.CloseableURLConnection",11,11
Public Class,"org.apache.commons.io.CopyUtils",13,13
Public Class,"org.apache.commons.io.CopyUtilsTest",19,19
Public Class,"org.apache.commons.io.DeleteDirectoryTest",15,15
Public Class,"org.apache.commons.io.DemuxTest",14,14
Private Static Class,"org.apache.commons.io.DemuxTest.ReaderThread",8,8
Private Static Class,"org.apache.commons.io.DemuxTest.WriterThread",7,7
Public Abstract Generic Class,"org.apache.commons.io.DirectoryWalker",10,10
Public Static Class,"org.apache.commons.io.DirectoryWalker.CancelException",2,2
TypeVariable,"org.apache.commons.io.DirectoryWalker.T",0,0
Public Class,"org.apache.commons.io.DirectoryWalkerTest",18,18
Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestCancelWalker",8,8
Private Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestFalseFileFinder",4,4
Private Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestFileFinder",8,8
Private Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestFileFinderString",7,7
Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestMultiThreadCancelWalker",8,8
Public Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4",18,18
Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker",8,8
Private Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFalseFileFinder",4,4
Private Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder",8,8
Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker",8,8
Public Class,"org.apache.commons.io.EndianUtils",5,5
Public Class,"org.apache.commons.io.EndianUtilsTest",7,7
Public Class,"org.apache.commons.io.FileCleaner",5,5
Public Class,"org.apache.commons.io.FileCleanerTest",3,3
Public Class,"org.apache.commons.io.FileCleaningTracker",14,14
Private Class,"org.apache.commons.io.FileCleaningTracker.Reaper",4,4
Private Static Class,"org.apache.commons.io.FileCleaningTracker.Tracker",4,4
Public Class,"org.apache.commons.io.FileCleaningTrackerTest",20,20
Public Class,"org.apache.commons.io.FileDeleteStrategy",6,6
Static Class,"org.apache.commons.io.FileDeleteStrategy.ForceFileDeleteStrategy",4,4
Public Class,"org.apache.commons.io.FileDeleteStrategyTest",9,9
Public Class,"org.apache.commons.io.FileExistsException",2,2
Public Enum Type,"org.apache.commons.io.FileSystem",8,8
Public Class,"org.apache.commons.io.FileSystemTest",5,5
Public Class,"org.apache.commons.io.FileSystemUtils",26,26
Public Class,"org.apache.commons.io.FileSystemUtilsTest",12,12
Static Class,"org.apache.commons.io.FileSystemUtilsTest.MockFileSystemUtils",3,3
Anonymous Class,"org.apache.commons.io.FileSystemUtilsTest.MockFileSystemUtils.openProcess.(Anon_1)",6,6
Anonymous Class,"org.apache.commons.io.FileSystemUtilsTest.testGetFreeSpaceOS_String_Unix.(Anon_2)",4,4
Anonymous Class,"org.apache.commons.io.FileSystemUtilsTest.testGetFreeSpaceOS_String_Windows.(Anon_3)",4,4
Public Class,"org.apache.commons.io.FileUtils",77,77
Public Class,"org.apache.commons.io.FileUtilsCleanDirectoryTest",12,12
Public Class,"org.apache.commons.io.FileUtilsCleanSymlinksTest",9,9
Public Class,"org.apache.commons.io.FileUtilsCopyDirectoryToDirectoryTest",13,13
Public Class,"org.apache.commons.io.FileUtilsCopyToFileTest",9,9
Private Class,"org.apache.commons.io.FileUtilsCopyToFileTest.CheckingInputStream",2,2
Public Abstract Class,"org.apache.commons.io.FileUtilsDeleteDirectoryBaseTest",6,6
Public Class,"org.apache.commons.io.FileUtilsDeleteDirectoryLinuxTest",12,12
Public Class,"org.apache.commons.io.FileUtilsDeleteDirectoryWindowsTest",10,10
Public Class,"org.apache.commons.io.FileUtilsDirectoryContainsTest",9,9
Public Class,"org.apache.commons.io.FileUtilsFileNewerTest",15,15
Public Class,"org.apache.commons.io.FileUtilsListFilesTest",13,13
Public Class,"org.apache.commons.io.FileUtilsTest",58,58
Static Class,"org.apache.commons.io.FileUtilsTest.ListDirectoryWalker",6,6
Private Static Class,"org.apache.commons.io.FileUtilsTest.ShorterFile",2,2
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveDirectory_CopyDelete.(Anon_1)",1,1
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete.(Anon_2)",1,1
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete_Failed.(Anon_3)",1,1
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete_WithFileDatePreservation.(Anon_4)",1,1
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete_WithoutFileDatePreservation.(Anon_5)",1,1
Public Class,"org.apache.commons.io.FileUtilsWaitForTest",6,6
Public Class,"org.apache.commons.io.FilenameUtils",15,15
Public Class,"org.apache.commons.io.FilenameUtilsTest",18,18
Public Class,"org.apache.commons.io.FilenameUtilsWildcardTest",6,6
Public Class,"org.apache.commons.io.HexDump",7,7
Public Class,"org.apache.commons.io.HexDumpTest",6,6
Public Enum Type,"org.apache.commons.io.IOCase",5,5
Public Class,"org.apache.commons.io.IOCaseTest",8,8
Public Class,"org.apache.commons.io.IOExceptionList",5,5
TypeVariable,"org.apache.commons.io.IOExceptionList.getCause.T",0,0
TypeVariable,"org.apache.commons.io.IOExceptionList.getCause.T",0,0
TypeVariable,"org.apache.commons.io.IOExceptionList.getCauseList.T",0,0
TypeVariable,"org.apache.commons.io.IOExceptionList.getCauseList.T",0,0
Public Class,"org.apache.commons.io.IOExceptionListTest",9,9
Public Class,"org.apache.commons.io.IOExceptionWithCause",2,2
Public Class,"org.apache.commons.io.IOExceptionWithCauseTest",5,5
Public Class,"org.apache.commons.io.IOIndexedException",2,2
