Kind,Name,PercentLackOfCohesion,PercentLackOfCohesionModified
Public Class,"org.apache.commons.io.ByteOrderMark",37,37
Public Class,"org.apache.commons.io.ByteOrderMarkTest",0,0
Public Class,"org.apache.commons.io.ByteOrderParser",0,0
Public Class,"org.apache.commons.io.ByteOrderParserTest",0,0
Public Class,"org.apache.commons.io.Charsets",0,0
Public Class,"org.apache.commons.io.CharsetsTest",0,0
Class,"org.apache.commons.io.CloseableURLConnection",4,2
Public Class,"org.apache.commons.io.CopyUtils",0,0
Public Class,"org.apache.commons.io.CopyUtilsTest",27,27
Public Class,"org.apache.commons.io.DeleteDirectoryTest",0,0
Public Class,"org.apache.commons.io.DemuxTest",56,37
Private Static Class,"org.apache.commons.io.DemuxTest.ReaderThread",33,33
Private Static Class,"org.apache.commons.io.DemuxTest.WriterThread",0,0
Public Abstract Generic Class,"org.apache.commons.io.DirectoryWalker",81,68
Public Static Class,"org.apache.commons.io.DirectoryWalker.CancelException",50,25
TypeVariable,"org.apache.commons.io.DirectoryWalker.T",0,0
Public Class,"org.apache.commons.io.DirectoryWalkerTest",0,0
Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestCancelWalker",50,50
Private Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestFalseFileFinder",0,0
Private Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestFileFinder",0,0
Private Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestFileFinderString",0,0
Static Class,"org.apache.commons.io.DirectoryWalkerTest.TestMultiThreadCancelWalker",62,62
Public Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4",0,0
Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker",50,50
Private Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFalseFileFinder",0,0
Private Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder",0,0
Static Class,"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker",62,62
Public Class,"org.apache.commons.io.EndianUtils",0,0
Public Class,"org.apache.commons.io.EndianUtilsTest",0,0
Public Class,"org.apache.commons.io.FileCleaner",0,0
Public Class,"org.apache.commons.io.FileCleanerTest",0,0
Public Class,"org.apache.commons.io.FileCleaningTracker",80,40
Private Class,"org.apache.commons.io.FileCleaningTracker.Reaper",0,0
Private Static Class,"org.apache.commons.io.FileCleaningTracker.Tracker",16,16
Public Class,"org.apache.commons.io.FileCleaningTrackerTest",34,34
Public Class,"org.apache.commons.io.FileDeleteStrategy",60,60
Static Class,"org.apache.commons.io.FileDeleteStrategy.ForceFileDeleteStrategy",0,0
Public Class,"org.apache.commons.io.FileDeleteStrategyTest",40,40
Public Class,"org.apache.commons.io.FileExistsException",0,0
Public Class,"org.apache.commons.io.FileSystemTest",0,0
Public Class,"org.apache.commons.io.FileSystemUtils",0,0
Public Class,"org.apache.commons.io.FileSystemUtilsTest",0,0
Static Class,"org.apache.commons.io.FileSystemUtilsTest.MockFileSystemUtils",55,22
Anonymous Class,"org.apache.commons.io.FileSystemUtilsTest.MockFileSystemUtils.openProcess.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.io.FileSystemUtilsTest.testGetFreeSpaceOS_String_Unix.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.io.FileSystemUtilsTest.testGetFreeSpaceOS_String_Windows.(Anon_3)",0,0
Public Class,"org.apache.commons.io.FileUtils",0,0
Public Class,"org.apache.commons.io.FileUtilsCleanDirectoryTest",0,0
Public Class,"org.apache.commons.io.FileUtilsCleanSymlinksTest",11,11
Public Class,"org.apache.commons.io.FileUtilsCopyDirectoryToDirectoryTest",28,28
Public Class,"org.apache.commons.io.FileUtilsCopyToFileTest",22,22
Private Class,"org.apache.commons.io.FileUtilsCopyToFileTest.CheckingInputStream",0,0
Public Abstract Class,"org.apache.commons.io.FileUtilsDeleteDirectoryBaseTest",11,11
Public Class,"org.apache.commons.io.FileUtilsDeleteDirectoryLinuxTest",0,0
Public Class,"org.apache.commons.io.FileUtilsDeleteDirectoryWindowsTest",0,0
Public Class,"org.apache.commons.io.FileUtilsDirectoryContainsTest",69,69
Public Class,"org.apache.commons.io.FileUtilsFileNewerTest",66,61
Public Class,"org.apache.commons.io.FileUtilsListFilesTest",33,33
Public Class,"org.apache.commons.io.FileUtilsTest",93,93
Static Class,"org.apache.commons.io.FileUtilsTest.ListDirectoryWalker",0,0
Private Static Class,"org.apache.commons.io.FileUtilsTest.ShorterFile",0,0
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveDirectory_CopyDelete.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete_Failed.(Anon_3)",0,0
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete_WithFileDatePreservation.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.io.FileUtilsTest.testMoveFile_CopyDelete_WithoutFileDatePreservation.(Anon_5)",0,0
Public Class,"org.apache.commons.io.FileUtilsWaitForTest",0,0
Public Class,"org.apache.commons.io.FilenameUtils",0,0
Public Class,"org.apache.commons.io.FilenameUtilsTest",97,97
Public Class,"org.apache.commons.io.FilenameUtilsWildcardTest",0,0
Public Class,"org.apache.commons.io.HexDump",0,0
Public Class,"org.apache.commons.io.HexDumpTest",0,0
Public Class,"org.apache.commons.io.IOCaseTest",0,0
Public Class,"org.apache.commons.io.IOExceptionList",55,22
TypeVariable,"org.apache.commons.io.IOExceptionList.getCause.T",0,0
TypeVariable,"org.apache.commons.io.IOExceptionList.getCause.T",0,0
TypeVariable,"org.apache.commons.io.IOExceptionList.getCauseList.T",0,0
TypeVariable,"org.apache.commons.io.IOExceptionList.getCauseList.T",0,0
Public Class,"org.apache.commons.io.IOExceptionListTest",0,0
Public Class,"org.apache.commons.io.IOExceptionWithCause",0,0
Public Class,"org.apache.commons.io.IOExceptionWithCauseTest",0,0
Public Class,"org.apache.commons.io.IOIndexedException",33,33
Public Class,"org.apache.commons.io.IOIndexedExceptionTest",0,0
Public Class,"org.apache.commons.io.IOUtils",0,0
Public Class,"org.apache.commons.io.IOUtilsCopyTest",43,40
Public Class,"org.apache.commons.io.IOUtilsTest",89,88
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testAsBufferedInputStream.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testAsBufferedInputStreamWithBufferSize.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testAsBufferedOutputStream.(Anon_3)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testAsBufferedOutputStreamWithBufferSize.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testAsBufferedReader.(Anon_5)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testAsBufferedReaderWithBufferSize.(Anon_6)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testCloseQuietly_SelectorIOException.(Anon_7)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testCloseQuietly_ServerSocketIOException.(lambda_expr_1).(Anon_8)",0,0
Anonymous Class,"org.apache.commons.io.IOUtilsTest.testCloseQuietly_SocketIOException.(lambda_expr_1).(Anon_9)",0,0
Public Class,"org.apache.commons.io.IOUtilsWriteTest",52,52
Public Class,"org.apache.commons.io.LineIterator",66,45
Public Class,"org.apache.commons.io.LineIteratorTest",50,31
Anonymous Class,"org.apache.commons.io.LineIteratorTest.testFiltering.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.io.LineIteratorTest.testNextWithException.(Anon_2)",0,0
Public Class,"org.apache.commons.io.SelectorAdapter",0,0
Public Class,"org.apache.commons.io.StandardLineSeparatorTest",0,0
Generic Class,"org.apache.commons.io.StreamIterator",40,9
TypeVariable,"org.apache.commons.io.StreamIterator.E",0,0
TypeVariable,"org.apache.commons.io.StreamIterator.iterator.T",0,0
Public Class,"org.apache.commons.io.TaggedIOException",40,19
Public Class,"org.apache.commons.io.TaggedIOExceptionTest",0,0
Public Class,"org.apache.commons.io.TestResources",0,0
Class,"org.apache.commons.io.ThreadMonitor",71,42
Public Class,"org.apache.commons.io.ThreadMonitorTest",0,0
Public Class,"org.apache.commons.io.UncheckedIOExceptions",0,0
Public Class,"org.apache.commons.io.UncheckedIOExceptionsTest",0,0
Public Class,"org.apache.commons.io.charset.CharsetDecdersTest",0,0
Public Class,"org.apache.commons.io.charset.CharsetDecoders",0,0
Public Class,"org.apache.commons.io.charset.CharsetEncoders",0,0
Public Class,"org.apache.commons.io.charset.CharsetEncodersTest",0,0
Abstract Class,"org.apache.commons.io.comparator.AbstractFileComparator",0,0
Public Abstract Class,"org.apache.commons.io.comparator.ComparatorAbstractTest",55,55
Public Class,"org.apache.commons.io.comparator.CompositeFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.CompositeFileComparatorTest",0,0
Public Class,"org.apache.commons.io.comparator.DefaultFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.DefaultFileComparatorTest",0,0
Public Class,"org.apache.commons.io.comparator.DirectoryFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.DirectoryFileComparatorTest",0,0
Public Class,"org.apache.commons.io.comparator.ExtensionFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.ExtensionFileComparatorTest",0,0
Public Class,"org.apache.commons.io.comparator.LastModifiedFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.LastModifiedFileComparatorTest",0,0
Public Class,"org.apache.commons.io.comparator.NameFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.NameFileComparatorTest",0,0
Public Class,"org.apache.commons.io.comparator.PathFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.PathFileComparatorTest",0,0
Class,"org.apache.commons.io.comparator.ReverseFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.SizeFileComparator",0,0
Public Class,"org.apache.commons.io.comparator.SizeFileComparatorTest",50,50
Public Abstract Class,"org.apache.commons.io.file.AbstractTempDirTest",0,0
Public Class,"org.apache.commons.io.file.AccumulatorPathVisitor",75,68
Public Class,"org.apache.commons.io.file.AccumulatorPathVisitorTest",80,80
Public Class,"org.apache.commons.io.file.CleaningPathVisitor",55,11
Public Class,"org.apache.commons.io.file.CleaningPathVisitorTest",22,0
Public Class,"org.apache.commons.io.file.CopyDirectoryVisitor",45,30
Public Class,"org.apache.commons.io.file.CopyDirectoryVisitorTest",0,0
Public Class,"org.apache.commons.io.file.CounterAssertions",0,0
Public Class,"org.apache.commons.io.file.Counters",0,0
Private Static Class,"org.apache.commons.io.file.Counters.AbstractPathCounters",25,25
Private Static Class,"org.apache.commons.io.file.Counters.BigIntegerCounter",0,0
Private Static Class,"org.apache.commons.io.file.Counters.BigIntegerPathCounters",0,0
Public Interface,"org.apache.commons.io.file.Counters.Counter",0,0
Private Static Class,"org.apache.commons.io.file.Counters.LongCounter",0,0
Private Static Class,"org.apache.commons.io.file.Counters.LongPathCounters",0,0
Private Static Class,"org.apache.commons.io.file.Counters.NoopCounter",0,0
Private Static Class,"org.apache.commons.io.file.Counters.NoopPathCounters",0,0
