Kind,Name,PercentLackOfCohesion,PercentLackOfCohesionModified
Public Interface,"org.apache.commons.codec.BinaryDecoder",0,0
Public Interface,"org.apache.commons.codec.BinaryEncoder",0,0
Public Abstract Class,"org.apache.commons.codec.BinaryEncoderAbstractTest",0,0
Public Class,"org.apache.commons.codec.CharEncoding",0,0
Public Class,"org.apache.commons.codec.CharEncodingTest",0,0
Public Class,"org.apache.commons.codec.Charsets",0,0
Public Class,"org.apache.commons.codec.CharsetsTest",0,0
Public Interface,"org.apache.commons.codec.Decoder",0,0
Public Class,"org.apache.commons.codec.DecoderException",0,0
Public Class,"org.apache.commons.codec.DecoderExceptionTest",0,0
Public Interface,"org.apache.commons.codec.Encoder",0,0
Public Class,"org.apache.commons.codec.EncoderException",0,0
Public Class,"org.apache.commons.codec.EncoderExceptionTest",0,0
Public Class,"org.apache.commons.codec.Resources",0,0
Public Interface,"org.apache.commons.codec.StringDecoder",0,0
Public Interface,"org.apache.commons.codec.StringEncoder",0,0
Public Abstract Generic Class,"org.apache.commons.codec.StringEncoderAbstractTest",87,0
TypeVariable,"org.apache.commons.codec.StringEncoderAbstractTest.T",0,0
Public Class,"org.apache.commons.codec.StringEncoderComparator",0,0
Public Class,"org.apache.commons.codec.StringEncoderComparatorTest",0,0
Public Class,"org.apache.commons.codec.binary.AllocateDirectHexTest",0,0
Public Class,"org.apache.commons.codec.binary.Base16",68,37
Public Class,"org.apache.commons.codec.binary.Base16InputStream",0,0
Public Class,"org.apache.commons.codec.binary.Base16InputStreamTest",0,0
Public Class,"org.apache.commons.codec.binary.Base16OutputStream",0,0
Public Class,"org.apache.commons.codec.binary.Base16OutputStreamTest",0,0
Public Class,"org.apache.commons.codec.binary.Base16Test",96,90
Public Class,"org.apache.commons.codec.binary.Base16TestData",0,0
Public Class,"org.apache.commons.codec.binary.Base32",84,27
Public Class,"org.apache.commons.codec.binary.Base32InputStream",0,0
Public Class,"org.apache.commons.codec.binary.Base32InputStreamTest",0,0
Public Class,"org.apache.commons.codec.binary.Base32OutputStream",0,0
Public Class,"org.apache.commons.codec.binary.Base32OutputStreamTest",0,0
