Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"AbstractCaverphone.java",1,4,1,2
File,"AllocateDirectHexTest.java",0,1,1,1
File,"Apr1CryptTest.java",0,12,1,1
File,"B64.java",1,5,1,2
File,"B64Test.java",0,2,1,1
File,"BCodec.java",1,28,1,3
File,"BCodecTest.java",2,22,1,3
File,"Base16.java",2,24,3,9
File,"Base16InputStream.java",0,4,1,1
File,"Base16InputStreamTest.java",2,28,1,4
File,"Base16OutputStream.java",0,4,1,1
File,"Base16OutputStreamTest.java",2,20,1,5
File,"Base16Test.java",2,52,1,7
File,"Base16TestData.java",0,0,0,0
File,"Base32.java",4,50,3,16
File,"Base32InputStream.java",0,4,1,1
File,"Base32InputStreamTest.java",2,36,1,5
File,"Base32OutputStream.java",0,4,1,1
File,"Base32OutputStreamTest.java",1,25,1,6
File,"Base32Test.java",2,65,1,7
File,"Base32TestData.java",0,0,0,0
File,"Base64.java",4,67,2,14
File,"Base64Codec13Test.java",2,29,2,3
File,"Base64InputStream.java",0,4,1,1
File,"Base64InputStreamTest.java",2,41,1,5
File,"Base64OutputStream.java",0,4,1,1
File,"Base64OutputStreamTest.java",2,26,1,6
File,"Base64Test.java",2,91,1,3
File,"Base64TestData.java",0,0,0,0
File,"BaseNCodec.java",2,56,1,5
File,"BaseNCodecInputStream.java",3,25,2,9
File,"BaseNCodecOutputStream.java",2,16,2,5
File,"BaseNCodecTest.java",1,30,1,3
File,"BaseNTestData.java",2,14,2,4
File,"BeiderMorseEncoder.java",1,11,1,2
File,"BeiderMorseEncoderTest.java",2,36,1,3
File,"BinaryCodec.java",3,33,3,5
File,"BinaryCodecTest.java",1,20,1,3
File,"BinaryDecoder.java",0,0,0,0
File,"BinaryEncoder.java",0,0,0,0
File,"BinaryEncoderAbstractTest.java",0,3,1,1
File,"Blake3.java",2,54,1,4
File,"Blake3Test.java",1,4,1,2
File,"Blake3TestVectorsTest.java",1,8,1,2
File,"CacheSubSequencePerformanceTest.java",2,12,1,3
File,"Caverphone.java",1,6,1,2
File,"Caverphone1.java",1,2,2,2
File,"Caverphone1Test.java",0,6,1,1
File,"Caverphone2.java",1,2,2,2
File,"Caverphone2Test.java",0,10,1,1
File,"CharEncoding.java",0,0,0,0
File,"CharEncodingTest.java",0,7,1,1
File,"CharSequenceUtils.java",2,6,6,6
File,"CharSequenceUtilsTest.java",2,14,1,3
File,"Charsets.java",0,4,2,2
File,"CharsetsTest.java",0,7,1,1
File,"Codec105ErrorInputStream.java",1,4,2,2
File,"CodecPolicy.java",0,2,1,1
File,"ColognePhonetic.java",4,48,2,22
File,"ColognePhoneticTest.java",2,23,1,3
File,"Crypt.java",1,8,2,5
File,"CryptTest.java",0,5,1,1
File,"DaitchMokotoffSoundex.java",6,66,2,15
File,"DaitchMokotoffSoundexTest.java",0,13,1,1
File,"Decoder.java",0,0,0,0
File,"DecoderException.java",0,4,1,1
File,"DecoderExceptionTest.java",0,4,1,1
File,"Digest.java",3,25,2,6
File,"DigestTest.java",0,4,1,1
File,"DigestUtils.java",1,128,1,2
File,"DigestUtilsTest.java",1,47,1,3
File,"DoubleMetaphone.java",3,195,3,40
File,"DoubleMetaphone2Test.java",1,5,1,2
File,"DoubleMetaphoneTest.java",2,30,1,4
File,"Encoder.java",0,0,0,0
File,"EncoderException.java",0,4,1,1
File,"EncoderExceptionTest.java",0,4,1,1
File,"Hex.java",2,48,1,5
File,"HexTest.java",2,94,1,4
File,"HmacAlgorithms.java",0,5,1,1
File,"HmacAlgorithmsTest.java",1,28,1,2
File,"HmacUtils.java",1,64,1,3
File,"HmacUtilsTest.java",0,34,1,1
File,"Lang.java",4,19,2,8
File,"LanguageGuessingTest.java",0,2,1,1
File,"Languages.java",4,41,1,6
File,"MatchRatingApproachEncoder.java",2,35,3,6
File,"MatchRatingApproachEncoderTest.java",0,93,1,1
File,"Md5Crypt.java",2,22,2,12
File,"Md5CryptTest.java",0,10,1,1
